id,名称,武器,皮肤,磨损,good_id,yyyp_id,自选,持仓,备注,最新价格,在售量
1,AWP | 火卫一 (崭新出厂),,,,279,980,1,1,,60.4,1369
2,AK-47 | 抽象派 1337 (略有磨损),,,,13363,61404,1,0,,1485.0,1181
3,沙漠之鹰 | 蓝色层压板 (崭新出厂),,,,12196,44983,1,1,,34.14,806
4,FN57 | 霸意大名 (崭新出厂),,,,28,2010,1,1,,20.0,475
5,USP 消音版 | 守护者 (崭新出厂),,,,6554,190,1,0,,49.7,1131
6,M4A4 | 合纵 (崭新出厂),,,,13373,61689,1,0,,9100.0,391
7,AWP | 冥界之河 (崭新出厂),,,,9563,47628,1,0,,100.5,2367
8,USP 消音版 | 次时代 (崭新出厂),,,,6543,228,1,0,,331.0,3125
9,印花 | MOUZ（全息）| 2024年上海锦标赛,,,,20840,,0,0,,46.9,1894
10,M4A1消音版 | 破碎铅秋 (崭新出厂),,,,1262,45154,1,0,,309.0,1040
11,加利尔 AR | 冷石 (崭新出厂),,,,1058,45028,1,0,,190.0,360
12,格洛克 18 型 | 异星世界 (崭新出厂),,,,1137,2381,1,0,,50.0,801
13,沙漠之鹰 | 人造卫星 (崭新出厂),,,,13342,61740,1,0,,85.0,2083
14,AK-47 | 抽象派 1337 (崭新出厂),,,,13493,61402,1,0,,3165.0,578
15,格洛克 18 型 | 水灵 (崭新出厂),,,,1168,44258,1,0,,387.99,618
16,MP7 | 卷云 (崭新出厂),,,,1516,544,1,0,,80.0,1361
17,FN57 | 神祗 (崭新出厂),,,,863,1196,1,1,,36.9,781
18,电竞 2013 冬季武器箱,,,,6620,1118,1,0,,97.0,1202
19,加利尔 AR | 迷人眼 (崭新出厂),,,,13263,53794,1,1,,186.0,615
20,加利尔 AR | 蓝钛 (崭新出厂),,,,1002,43637,1,0,,169.5,883
21,亚诺（野草） | 游击队,,,,13470,101133,1,0,,104.5,1738
22,法玛斯 | 殖民侵略者 (崭新出厂),,,,739,44831,0,0,,18.62,596
23,格洛克 18 型 | 拉美西斯之触 (崭新出厂),,,,16544,103585,1,0,,605.0,562
24,M4A4 | 全球攻势 (崭新出厂),,,,12659,44085,1,0,,458.88,375
25,格洛克 18 型 | 粉碎者 (崭新出厂),,,,1118,987,0,0,,99.7,766
26,SSG 08 | 无尽深海 (崭新出厂),,,,2291,2185,1,0,,29.27,615
27,AWP | 珊瑚树 (崭新出厂),,,,240,49533,0,0,,1376.26,24
28,AK-47 | 蓝色层压板 (崭新出厂),,,,50,,0,0,,232.27,828
29,M4A4 | 弹雨 (崭新出厂),,,,1290,,0,0,,1505.0,283
30,AK-47 | 卡特尔 (崭新出厂),,,,55,,0,0,,373.0,808
31,SSG 08 | 水中之血 (崭新出厂),,,,2301,,0,0,,977.0,121
32,M4A4 | 喧嚣杀戮 (崭新出厂),,,,1295,,0,0,,3344.4,1096
33,M4A4 | 死寂空间 (崭新出厂),,,,1314,,0,0,,588.5,670
34,法玛斯 | 残影 (崭新出厂),,,,735,51959,0,0,,389.0,85
35,M4A4 | 沙漠风暴 (崭新出厂),,,,1304,53313,0,0,,451.19,18
36,SSG 08 | 蓝色云杉 (崭新出厂),,,,2305,3324,0,0,,5.49,315
37,M4A1消音版 | 机械工业 (崭新出厂),M4A1消音版,机械工业,崭新出厂,1272,1630,0,0,,1399.9,686
38,Tec-9 | 冰冠 (崭新出厂),Tec-9,冰冠,崭新出厂,8,889,0,0,,11.61,1292
39,AK-47 | 霓虹革命 (崭新出厂),AK-47,霓虹革命,崭新出厂,111,43638,0,0,,1457.0,646
40,MP9 | 气密 (崭新出厂),MP9,气密,崭新出厂,1576,45468,0,0,,200.81,294
41,沙漠之鹰 | 指挥 (崭新出厂),,,,557,53037,0,0,,729.44,26
42,法玛斯 | 机械工业 (崭新出厂),,,,769,34694,1,0,,829.0,1008
43,M4A4 | 地狱烈焰 (崭新出厂),,,,1332,,0,0,,2310.0,644
44,AK-47 | 轨道 Mk01 (崭新出厂),,,,19357,828,1,0,,678.0,818
45,M4A1消音版 | 闪回 (崭新出厂),M4A1消音版,闪回,崭新出厂,1238,47878,0,0,,876.5,597
46,加利尔 AR | 黑砂 (崭新出厂),加利尔 AR,黑砂,崭新出厂,998,10310,0,0,,111.0,738
47,MP9 | 星使 (崭新出厂),,,,14758,101563,1,0,,618.96,230
48,法玛斯 | 目皆转睛 (崭新出厂),法玛斯,目皆转睛,崭新出厂,14771,101524,0,0,,126.0,368
49,USP 消音版 | 地狱门票 (崭新出厂),USP 消音版,地狱门票,崭新出厂,14712,101432,0,0,,17.2,755
50,SSG 08 | 速度激情 (崭新出厂),,,,13691,61510,1,0,,411.0,513
51,M4A4 | 彼岸花 (崭新出厂),M4A4,彼岸花,崭新出厂,13623,61439,0,0,,432.5,829
52,USP 消音版 | 银装素裹 (崭新出厂),USP 消音版,银装素裹,崭新出厂,13812,61726,0,0,,3098.0,171
53,AWP | 复古流行 (崭新出厂),,,,13463,,0,0,,320.5,1159
54,AWP | 锦虎 (崭新出厂),,,,12919,49281,1,0,,6705.84,10
55,沙漠之鹰 | 午夜凶匪 (崭新出厂),,,,12884,,1,0,,850.0,740
56,沙漠之鹰 | 翡翠巨蟒 (崭新出厂),,,,11553,,0,0,,3789.0,132
57,M4A1消音版 | 控制台 (崭新出厂),,,,9655,,0,0,,1481.02,19
58,MP7 | 渐变之色 (崭新出厂),MP7,渐变之色,崭新出厂,9583,5473,0,0,,122.5,2930
59,沙漠之鹰 | 炽烈之炎 (崭新出厂),,,,534,,0,0,,4229.0,532
60,M4A4 | 波塞冬 (崭新出厂),M4A4,波塞冬,崭新出厂,1349,2128,0,0,,11800.0,213
61,M4A1消音版 | 伊卡洛斯殒落 (崭新出厂),,,,1258,,0,0,,3319.0,642
62,AK-47 | 水栽竹 (崭新出厂),AK-47,水栽竹,崭新出厂,91,43800,0,0,,29200.0,224
63,M4A1消音版 | 赤红新星 (崭新出厂),,,,1251,47839,0,0,,10000.0,384
64,SSG 08 | 炎龙之焰 (崭新出厂),,,,2321,,0,0,,2440.0,252
65,AWP | 鬼退治 (崭新出厂),,,,275,44228,0,0,,6630.46,11
66,AWP | CMYK (崭新出厂),,,,20459,109985,0,0,,4840.0,305
67,AK-47 | X 射线 (崭新出厂),,,,13031,47261,0,0,,15799.5,166
68,M4A4 | 活色生香 (崭新出厂),,,,13283,,0,0,,612.31,787
69,沙漠之鹰 | 后发制人 (崭新出厂),,,,13198,53597,1,0,,67.0,723
70,M4A1消音版 | 印花集 (崭新出厂),,,,12800,,0,0,,2914.1,663
71,M4A4 | 赛博 (崭新出厂),M4A4,赛博,崭新出厂,12832,44635,0,0,,1059.8,467
72,M4A1消音版 | 二号玩家 (崭新出厂),M4A1消音版,二号玩家,崭新出厂,12304,2408,0,0,,956.0,482
73,AK-47 | 幻影破坏者 (崭新出厂),,,,12248,2100,1,0,,166.5,1632
74,M4A4 | 皇帝 (崭新出厂),M4A4,皇帝,崭新出厂,10548,1972,0,0,,1745.0,392
75,沙漠之鹰 | 轻轨 (崭新出厂),,,,10360,4293,1,0,,104.5,431
76,AK-47 | 霓虹骑士 (崭新出厂),,,,8566,,0,0,,1169.9,518
77,M4A1消音版 | 梦魇 (崭新出厂),M4A1消音版,梦魇,崭新出厂,8506,48777,0,0,,1680.0,72
78,沙漠之鹰 | 纳迦蛇神 (崭新出厂),沙漠之鹰,纳迦蛇神,崭新出厂,590,43518,0,0,,255.0,308
79,AK-47 | 皇后 (崭新出厂),,,,144,,0,0,,1399.49,406
80,M4A1消音版 | 次时代 (崭新出厂),M4A1消音版,次时代,崭新出厂,1226,1222,0,0,,1283.5,606
81,沙漠之鹰 | 阴谋者 (崭新出厂),沙漠之鹰,阴谋者,崭新出厂,544,876,0,0,,152.0,1392
82,AK-47 | 深海复仇 (崭新出厂),,,,38,43653,0,0,,1053.0,449
83,格洛克 18 型 | 本生灯 (崭新出厂),,,,1099,43641,0,0,,43.46,499
84,M4A4 | 狮鹫 (崭新出厂),M4A4,狮鹫,崭新出厂,1328,44835,0,0,,779.99,55
85,M4A1消音版 | 原子合金 (崭新出厂),M4A1消音版,原子合金,崭新出厂,1196,43764,0,0,,1057.0,384
86,M4A4 | 沙漠精英 (崭新出厂),M4A4,沙漠精英,崭新出厂,1309,44074,0,0,,570.0,861
87,M4A1消音版 | 暴怒野兽 (崭新出厂),M4A1消音版,暴怒野兽,崭新出厂,1254,50476,0,0,,1746.5,240
88,格洛克 18 型 | 黑龙纹身 (崭新出厂),,,,1114,,0,0,,1015.58,105
89,AWP | 猫猫狗狗 (崭新出厂),AWP,猫猫狗狗,崭新出厂,8460,234,0,0,,53.12,1420
90,沙漠之鹰 | 黄金锦鲤 (崭新出厂),,,,561,44950,0,0,,1557.5,496
91,AK-47 | 火神 (崭新出厂),,,,149,,0,0,,3903.5,825
92,AK-47 | 表面淬火 (崭新出厂),AK-47,表面淬火,崭新出厂,58,798,0,0,,2674.9,488
93,AK-47 | 血腥运动 (崭新出厂),,,,46,43663,0,0,,1073.0,1639
94,AWP | 石墨黑 (崭新出厂),,,,259,,0,0,,977.0,609
95,德拉戈米尔 | 军刀勇士,,,,12791,8506,1,1,,84.29,252
96,运动手套（★） | 树篱迷宫 (久经沙场),,,,7470,13177,1,0,,27999.0,558
97,AWP | *嘣* (崭新出厂),,,,237,,0,0,,2535.97,44
98,USP 消音版 | 力矩 (崭新出厂),,,,21,,0,0,,13.55,1138
99,沙漠之鹰 | 钴蓝禁锢 (崭新出厂),,,,541,,1,0,,760.0,587
100,AWP | 电子蜂巢 (崭新出厂),,,,246,400,1,0,,661.95,490
101,AWP | 浮生如梦 (崭新出厂),,,,255,864,1,0,,152.5,1309
102,AWP | 暴怒野兽 (崭新出厂),,,,262,,0,0,,1022.4,387
103,MP7 | 深蓝电镀处理 (崭新出厂),,,,1500,,0,0,,8.86,634
104,AK-47 | 黑色层压板 (崭新出厂),,,,42,52760,0,0,,2200.0,18
105,AK-47 | 精英之作 (崭新出厂),,,,62,1680,0,0,,70.0,1144
106,AK-47 | 翡翠细条纹 (崭新出厂),,,,67,1213,1,0,,118.0,874
107,AK-47 | 火蛇 (崭新出厂),,,,72,49082,0,0,,15298.5,61
108,AK-47 | 至高皮革 (崭新出厂),,,,77,51749,0,0,,1417.79,12
109,AK-47 | 前线迷雾 (崭新出厂),,,,82,45609,0,0,,810.0,409
110,AWP | 雷击 (崭新出厂),,,,266,43393,0,0,,3148.99,617
111,AWP | 粉红 DDPAT (崭新出厂),,,,284,,0,0,,1089.4,24
112,沙漠之鹰 | 锈蚀烈焰 (崭新出厂),,,,24,242,0,0,,14.58,672
113,沙漠之鹰 | 青铜装饰 (崭新出厂),,,,537,1371,0,0,,7.58,1587
114,沙漠之鹰 | 科林斯遗产 (崭新出厂),,,,547,43410,0,0,,10.51,1293
115,沙漠之鹰 | 深红之网 (崭新出厂),,,,552,,0,0,,995.0,110
116,沙漠之鹰 | 手上加农炮 (崭新出厂),,,,564,,0,0,,2998.97,26
117,沙漠之鹰 | 遗产 (崭新出厂),,,,568,5233,0,0,,710.0,132
118,沙漠之鹰 | 蛊惑之色 (崭新出厂),,,,572,,0,0,,1050.0,275
119,沙漠之鹰 | 大佬龙 (崭新出厂),,,,574,,0,0,,542.5,551
120,沙漠之鹰 | 陨星 (崭新出厂),,,,578,3378,0,0,,9.97,1774
121,M4A4 | 破晓 (崭新出厂),,,,1300,45678,0,0,,5900.0,167
122,MP7 | 非洲部落 (崭新出厂),,,,1496,47088,0,0,,20.6,303
123,MP7 | 陆军斥候 (崭新出厂),,,,1508,49233,0,0,,8.26,75
124,MP7 | 星点 (崭新出厂),,,,1513,48043,0,0,,156.0,144
125,MP7 | 森林 DDPAT (崭新出厂),,,,1521,47860,0,0,,16.87,310
126,MP7 | 逮捕者 (崭新出厂),,,,1526,,0,0,,319.9,11
127,MP7 | 硝烟 (崭新出厂),,,,1536,,0,0,,128.88,13
128,MP7 | 帝国 (崭新出厂),,,,1540,43879,0,0,,99.0,337
129,M4A4 | 杀意大名 (崭新出厂),,,,1319,10995,0,0,,62.1,1867
